Country,RGI_ID,GLIMS_ID,Glacier_Name,Number of dated surges,CENLAT,CENLON,AREA,ZMIN,ZMAX,ZMED,SLOPE,ASPECT,LMAX
Svalbard,RGI50.07.01130,G016561E78093N,Kokbreen,0,78.093,16.5613,18.191,160,963,582,11.4,196,7636
Alaska,RGI50-01.00013,G213316E63499N,Susitna,1,63.49932861,-146.684082,209.63,823,4003,1848,13,239,39197
Alaska,RGI50-01.00020,G213639E63357N,Eureka,1,63.357,-146.361,34.046,1127,2660,1844,15,174,9459
Alaska,RGI50-01.00021,G213394E63405N,MacLaren,1,63.40483093,-146.6062622,56.531,942,2584,1781,12,192,18292
Alaska,RGI50-01.00037,G213472E63469N,Black Rapids,1,63.46917343,-146.5281677,234.583,722,3081,1841,12,30,41911
Alaska,RGI50-01.00037,G213472E63469N,Black rapids north trib 1,0,63.46917343,-146.5281677,234.583,722,3081,1841,12,30,41911
Alaska,RGI50-01.00037,G213472E63469N,Black rapids north trib 2,0,63.46917343,-146.5281677,234.583,722,3081,1841,12,30,41911
Alaska,RGI50-01.00037,G213472E63469N,Black rapids north trib 3,0,63.46917343,-146.5281677,234.583,722,3081,1841,12,30,41911
Alaska,RGI50-01.00037,G213472E63469N,Black rapids north trib 4,0,63.46917343,-146.5281677,234.583,722,3081,1841,12,30,41911
Alaska,RGI50-01.00037,G213472E63469N,Black rapids north trib 5,0,63.46917343,-146.5281677,234.583,722,3081,1841,12,30,41911
Alaska,RGI50-01.00037,G213472E63469N,Black rapids S1 Trib,0,63.46917343,-146.5281677,234.583,722,3081,1841,12,30,41911
Alaska,RGI50-01.00037,G213472E63469N,Black rapids S2 Trib,0,63.46917343,-146.5281677,234.583,722,3081,1841,12,30,41911
Alaska,RGI50-01.00037,G213472E63469N,Black rapids S3 Trib,0,63.46915303,-146.5281014,234.582911,722,3081,1841,12,30,41911
Alaska,RGI50-01.00037,G213472E63469N,Black rapids S4 Trib,0,63.46917343,-146.5281677,234.583,722,3081,1841,12,30,41911
Alaska,RGI50-01.00038,G213531E63603N,Trident,3,63.603,-146.469,138.555,851,3857,2088,17,28,29601
Alaska,RGI50-01.00039,G213938E63395N,Black rapids S5 Trib,0,63.395,-146.062,8.106,1039,2280,1761,17,350,6170
Alaska,RGI50-01.00042,G212421E63594N,Yanert,2,63.59409714,-147.5792694,83.656,830,3734,1578,15,306,34997
Alaska,RGI50-01.00046,G212723E63542N,West Fork,1,63.542,-147.277,193.423,844,3472,1613,10,213,42681
Alaska,RGI50-01.00312,G214807E63249N,Gakona,2,63.249,-145.193,90.948,1062,2973,1652,11,169,23553
Alaska,RGI50-01.00312,G214807E63249N,Gakona West,1,63.249,-145.193,90.948,1062,2973,1652,11,169,23553
Alaska,RGI50-01.00324,G215228E63218N,Chistochina North,0,63.218,-144.772,1.093,1665,2367,1899,18,205,1794
Alaska,RGI50-01.00570,G214573E63281N,Gulkana,1,63.281,-145.427,17.567,1162,2438,1858,14,172,8639
Alaska,RGI50-01.00571,G214551E63321N,Canwell,0,63.321,-145.449,59.601,808,2734,1621,14,298,23526
Alaska,RGI50-01.00572,G214972E63241N,Chistochina West Unnamed PA1969 108,0,63.241,-145.028,31.256,1175,2663,1697,12,102,14621
Alaska,RGI50-01.00572,G214972E63241N,Unnamed PA1969 108,0,63.241,-145.028,31.256,1175,2663,1697,12,102,14621
Alaska,RGI50-01.00709,G225522E58519N,Sheep Creek (Mendenhall Glacier?),1,58.519,-134.478,109.359,94,1966,1191,10,219,25377
Canada,RGI50-01.00951,G226291E59002N,RenduD,2,59.002,-133.709,5.186,1342,2081,1668,12,46,3617
Alaska,RGI50-01.01104,G225651E58380N,Vesper,1,58.38,-134.349,9.528,676,1494,1123,10,327,6332
Alaska,RGI50-01.01713,G214583E61026N,Little Tasnuna,0,61.026,-145.417,4.703,824,1592,1207,13,21,3986
Alaska,RGI50-01.01753,G214501E60996N,Tasnuna,0,60.996,-145.499,26.388,373,1636,1199,10,4,13874
Alaska,RGI50-01.01760,G215065E60677N,Childs,2,60.677,-144.935,94.16,45,1766,937,11,83,19547
Alaska,RGI50-01.01796,G215094E60780N,Allen,1,60.78,-144.906,189.244,66,1848,824,10,58,30187
Alaska,RGI50-01.01803,G214638E60826N,Unnamed PA1969 134,0,60.826,-145.362,11.985,636,1769,1312,14,107,6107
Alaska,RGI50-01.01803,G214638E60826N,Unnamed PA1969 136,0,60.826,-145.362,11.985,636,1769,1312,14,107,6107
Alaska,RGI50-01.01837,G214395E60995N,Deserted,1,60.995,-145.605,33.751,569,1984,1278,10,2,15855
Alaska,RGI50-01.01839,G214480E61041N,Marshall,1,61.041,-145.52,10.259,706,1741,1315,10,347,7741
Canada,RGI50-01.04586,G229069E56532N,CA2N001GL056,0,56.53220367,-130.9311523,13.706,644,2254,1706,19,25,7570
Canada,RGI50-01.04764,G228484E57434N,CA2N001FH065,0,57.434,-131.516,2.75,1140,2480,1784,22,318,3044
Canada,RGI50-01.06827,G231172E57096N,CA2N001AD241,0,57.09603882,-128.8283386,0.585,1850,2175,1991,19,22,933
Canada,RGI50-01.06831,G231212E57073N,CA2N001AD230,0,57.073,-128.788,0.483,1734,2080,1928,20,329,702
Canada,RGI50-01.06893,G231202E57073N,CA2N001AD231,0,57.073,-128.798,0.073,1794,1989,1867,26,5,-9
Canada,RGI50-01.06894,G231227E57071N,CA2N001AD227,0,57.071,-128.773,0.515,1761,2139,1927,20,5,1006
Alaska,RGI50-01.07600,G228516E56511N,CA2N001FM084,0,56.511,-131.484,1.423,1223,1609,1452,18,11,1223
Alaska,RGI50-01.08666,G210797E60243N,Unnamed PA1969 145,0,60.243,-149.203,4.629,467,1771,1130,19,270,5423
Alaska,RGI50-01.08674,G210783E60260N,Unnamed PA1969 142,0,60.26,-149.217,1.964,575,1543,874,16,285,3686
Alaska,RGI50-01.09060,G211041E60399N,Unnamed PA1969 140,0,60.399,-148.959,1.827,1025,1572,1338,13,256,2264
Alaska,RGI50-01.09124,G211091E60554N,Trail,0,60.554,-148.909,13.897,324,1699,1295,12,273,9308
Alaska,RGI50-01.09201,G211117E60719N,skookum,0,60.719,-148.883,8.66,78,1725,446,15,306,9216
Alaska,RGI50-01.09209,G211128E60677N,Unnamed PA1969 139,0,60.677,-148.872,2.597,545,1463,1019,18,279,3283
Alaska,RGI50-01.09639,G211385E60272N,Chenega,0,60.272,-148.615,377.247,38,1819,972,9,80,30740
Alaska,RGI50-01.10006,G211611E61174N,Colony,0,61.174,-148.389,219.444,61,2918,1435,12,320,29101
Alaska,RGI50-01.10196,G211861E61338N,Knik,0,61.338,-148.139,427.281,40,3647,1727,9,302,47314
Alaska,RGI50-01.10411,G212146E60991N,Crescent,1,60.991,-147.854,7.42,80,1329,592,15,306,7479
Alaska,RGI50-01.10424,G212175E61006N,Amherst,0,61.006,-147.825,10.314,27,1357,712,18,296,6515
Alaska,RGI50-01.10575,G212357E61321N,Harvard,0,61.32133484,-147.6431122,449.57,0,3985,1775,17,200,41305
Alaska,RGI50-01.10589,G212569E61605N,Unnamed PA1969 138,0,61.605,-147.431,1.827,1683,2492,2109,15,245,3650
Alaska,RGI50-01.10689,G213112E61299N,Columbia,0,61.299,-146.888,773.873,0,3693,1309,11,184,53471
Alaska,RGI50-01.10689,G213112E61299N,Columbia East Branch,0,61.299,-146.888,773.873,0,3693,1309,11,184,53471
Alaska,RGI50-01.10689,G213112E61299N,Unnamed BE2012 D,0,61.299,-146.888,773.873,0,3693,1309,11,184,53471
Alaska,RGI50-01.10781,G213302E61528N,Unnamed PA1969 135,0,61.528,-146.698,10.907,898,2381,1601,19,8,8069
Canada,RGI50-01.11748,G224346E59845N,4*9ACC46,0,59.845,-135.654,4.338,1402,2399,1793,16,330,4079
Canada,RGI50-01.11789,G223740E59967N,CA2O016CE043,0,59.967,-136.26,0.896,1576,2054,1819,21,32,1525
Canada,RGI50-01.11800,G224088E59891N,CA2O016CD050,0,59.891,-135.912,0.176,1708,2009,1845,27,54,377
Alaska,RGI50-01.12020,G205775E61652N,Unnamed PA1969 103,0,61.652,-154.225,4.623,947,1956,1399,21,317,5266
Alaska,RGI50-01.12045,G207311E61710N,Sled Pass,1,61.71,-152.689,1.346,1338,2300,1793,22,13,2813
Alaska,RGI50-01.12047,G205734E61726N,Unnamed PA1969 102,0,61.726,-154.266,1.178,1120,1956,1289,24,256,1784
Alaska,RGI50-01.12083,G207558E61818N,Unnamed PA1969 72,0,61.818,-152.442,2.45,1004,1813,1409,21,298,3715
Alaska,RGI50-01.12136,G206027E61985N,Unnamed PA1969 105,0,61.985,-153.973,0.716,1425,2355,1835,33,357,1334
Alaska,RGI50-01.12157,G205689E62116N,Unnamed PA1969 104,0,62.116,-154.311,2.301,1276,1804,1531,21,355,2322
Alaska,RGI50-01.12160,G207099E61921N,Stoney,0,61.921,-152.901,3.321,925,1758,1237,21,24,3536
Alaska,RGI50-01.12182,G207629E61813N,Unnamed PA1969 73,0,61.813,-152.371,6.133,649,2008,1151,20,47,5956
Alaska,RGI50-01.12186,G207471E61795N,Unnamed PA1969 71,0,61.79517746,-152.5291138,11.05,837,2450,1390,17,343,7672
Alaska,RGI50-01.12206,G207400E61756N,Little Black and Tan,1,61.756,-152.6,1.871,1091,1852,1549,16,334,2943
Alaska,RGI50-01.12208,G207367E61724N,Black and Tan,0,61.724,-152.633,19.14,561,2794,1403,17,340,16841
Alaska,RGI50-01.12275,G207520E61653N,Hayes,0,61.653,-152.48,155.249,311,3404,1657,17,343,41605
Alaska,RGI50-01.12306,G207265E61611N,Skwentna,0,61.61073303,-152.7346497,51.458,835,2919,1813,17,302,19332
Alaska,RGI50-01.12317,G207427E61500N,Twin North,1,61.5,-152.573,31.231,897,3284,1838,15,244,18324
Alaska,RGI50-01.12347,G207598E61388N,Harpoon,1,61.38786697,-152.4015808,19.072,872,3340,1695,21,262,15175
Alaska,RGI50-01.12348,G207485E61339N,Little Nagishlamina,1,61.339,-152.515,2.484,1496,2356,1941,19,207,3442
Alaska,RGI50-01.12355,G207614E61371N,Pothole Potholes,3,61.37102509,-152.3859711,30.643,681,3333,2026,22,242,14136
Alaska,RGI50-01.12370,G208211E61338N,Capps,4,61.33808518,-151.7885132,240.647,183,3463,1286,15,72,40550
Alaska,RGI50-01.12401,G207458E61437N,Twin South,0,61.437,-152.542,28.546,1010,2815,1723,15,268,13774
Alaska,RGI50-01.12425,G207803E61484N,Triumvirate,0,61.484,-152.197,341.521,137,3449,1320,12,88,45504
Alaska,RGI50-01.12425,G207803E61484N,Triumvirate SW Tributary,0,61.484,-152.197,341.521,137,3449,1320,12,88,45504
Alaska,RGI50-01.12683,G221141E59910N,Art Lewis,1,59.91,-138.859,193.667,29,2743,1253,14,190,35672
Alaska,RGI50-01.12746,G221015E59541N,Miller,2,59.54058075,-138.9848633,1.835,357,1291,833,20,212,3428
Alaska,RGI50-01.13531,G215853E60631N,Miles,3,60.631,-144.147,421.012,41,3411,943,11,295,55594
Alaska,RGI50-01.13545,G216127E60550N,Martin River,3,60.55,-143.873,367.064,41,3322,1010,14,242,50852
Alaska,RGI50-01.13608,G217831E60335N,Duktoth,1,60.335,-142.169,20.117,689,2211,1486,17,284,11054
Alaska,RGI50-01.13635,G217928E60461N,Anchor,0,60.461,-142.072,3025.115,3,5381,1525,9,273,196819
Alaska,RGI50-01.13635,G217928E60461N,bagley columbus,0,60.461,-142.072,3025.115,3,5381,1525,9,273,196819
Alaska,RGI50-01.13635,G217928E60461N,Barkley,0,60.461,-142.072,3025.115,3,5381,1525,9,273,196819
Alaska,RGI50-01.13635,G217928E60461N,Bering,8,60.461,-142.072,3025.115,3,5381,1525,9,273,196819
Alaska,RGI50-01.13635,G217928E60461N,Columbus,0,60.461,-142.072,3025.115,3,5381,1525,9,273,196819
Alaska,RGI50-01.13637,G220103E60023N,Lucia,2,60.023,-139.897,95.296,99,2251,831,15,185,22386
Alaska,RGI50-01.13638,G218857E60196N,Tyndall,0,60.196,-141.143,121.133,4,5289,1653,19,232,23894
Alaska,RGI50-01.13696,G219572E60177N,Malaspina,3,60.177,-140.428,3362.656,6,5943,1510,10,172,136989
Alaska,RGI50-01.13696,G219572E60177N,Seward,0,60.177,-140.428,3362.656,6,5943,1510,10,172,136989
Alaska,RGI50-01.13696,G219572E60177N,Unnamed PA1969 132,0,60.177,-140.428,3362.656,6,5943,1510,10,172,136989
Canada,RGI50-01.13826,G221646E59667N,4*8ABB2,0,59.667,-138.354,178.164,203,2322,696,7,83,40299
Alaska,RGI50-01.13931,G218423E60785N,Taylor,0,60.785,-141.577,28.674,1376,2932,2204,15,10,12319
Alaska,RGI50-01.13947,G218438E60872N,Marble A East ,1,60.87162018,-141.5622711,25.206,1543,2730,2266,13,330,8310
Alaska,RGI50-01.13947,G218438E60872N,Marble B East ,1,60.87162018,-141.5622711,25.206,1543,2730,2266,13,330,8310
Alaska,RGI50-01.14232,G220324E60088N,Haenke,4,60.088,-139.676,34.639,0,2391,958,20,112,15851
Alaska,RGI50-01.14324,G218339E60742N,Little Goat,1,60.742,-141.661,108.468,968,2879,1954,13,319,26947
Alaska,RGI50-01.14391,G220204E60098N,Turner,3,60.098,-139.796,176.999,0,4144,1297,23,83,36294
Alaska,RGI50-01.14394,G220402E60097N,Miller 2nd North ,1,60.097,-139.598,12.375,252,2096,1004,24,140,7943
Alaska,RGI50-01.14443,G220499E60427N,Hubbard,2,60.427,-139.501,2834.493,0,5889,1911,12,151,131321
Alaska,RGI50-01.14443,G220499E60427N,Jette,2,60.427,-139.501,2834.493,0,5889,1911,12,151,131321
Canada,RGI50-01.14443,G220499E60427N,Queen Mary West Glacier,1,60.427,-139.501,2834.493,0,5889,1911,12,151,131321
Alaska,RGI50-01.14443,G220499E60427N,Unnamed PA1969 86,0,60.427,-139.501,2834.493,0,5889,1911,12,151,131321
Alaska,RGI50-01.14479,G218609E60691N,Kanabe,1,60.691,-141.391,218.943,1100,3388,2210,10,314,48325
Alaska,RGI50-01.14479,G218609E60691N,Little Kanabe,1,60.691,-141.391,218.943,1100,3388,2210,10,314,48325
Alaska,RGI50-01.14523,G220934E59702N,Hidden,1,59.702,-139.066,55.677,123,1630,707,11,331,16958
Alaska,RGI50-01.14529,G220950E59943N,Butler,3,59.943,-139.05,26.336,171,2330,1309,16,207,15011
Alaska,RGI50-01.14589,G217716E60305N,Little Duktoth,0,60.305,-142.284,8.06,858,1952,1402,21,316,4153
Alaska,RGI50-01.14646,G220289E59979N,Galiano,2,59.979,-139.711,4.283,401,1971,1290,28,189,3834
Alaska,RGI50-01.14683,G218284E60329N,Yahtse,0,60.329,-141.716,1019.101,4,3638,1447,13,179,69977
Canada,RGI50-01.14779,G221748E59787N,4*8ABB26,0,59.787,-138.252,8.061,734,1648,1180,13,108,6970
Alaska,RGI50-01.14878,G218236E60214N,Unnamed BE2012 C,0,60.214,-141.764,283.651,237,2708,1352,10,93,28760
Alaska,RGI50-01.14883,G216487E60497N,Steller,2,60.497,-143.513,743.599,2,3104,1097,13,210,66592
Alaska,RGI50-01.15111,G220169E59934N,Atrevida,4,59.934,-139.831,57.415,21,1980,135,9,180,19318
Alaska,RGI50-01.15259,G217387E62245N,Bond Creek area,0,62.245,-142.613,2.755,1865,2500,2192,21,268,3198
Alaska,RGI50-01.15491,G217551E62075N,Little Cross Creek,0,62.07449971,-142.4491219,2.276998914,1935,2853,2434,27,324,2748
Alaska,RGI50-01.15512,G215902E62083N,Sanford,0,62.08339691,-144.0984192,145.222,1046,4933,2397,12,281,30202
Alaska,RGI50-01.15515,G217894E61856N,Lime,1,61.85599385,-142.1059822,29.905,1559,3067,2223,16,66,14956
Alaska,RGI50-01.15517,G217820E61914N,Bow Creek East ,0,61.91387177,-142.1796722,16.563,1561,3072,2329,20,10,7027
Alaska,RGI50-01.15535,G217714E61779N,Frederika,2,61.779,-142.286,53.442,1125,3151,2069,16,167,19718
Alaska,RGI50-01.15588,G217154E61889N,President Chair C,0,61.889,-142.846,84.114,1299,3199,2305,18,337,20262
Alaska,RGI50-01.15588,G217154E61889N,President Chair D,0,61.889,-142.846,84.114,1299,3199,2305,18,337,20262
Alaska,RGI50-01.15680,G217258E61953N,President Chair B,0,61.953,-142.742,7.215,1687,2841,2324,19,304,5648
