Randoplh32,Region,Glacier_Na,CentLAT,CentLON
RGI32-01.01881,Alaska-Yukon,Marshall,61.041401,-145.520004
RGI32-01.04652,Alaska-Yukon,CA2N001GL056,56.5318979999999,-130.936004999999
RGI32-01.04832,Alaska-Yukon,CA2N001FH065,57.4343989999999,-131.516007
RGI32-01.06925,Alaska-Yukon,CA2N001AD241,57.101601,-128.834
RGI32-01.06929,Alaska-Yukon,CA2N001AD230,57.0726009999999,-128.787994
RGI32-01.06991,Alaska-Yukon,CA2N001AD231,57.073399,-128.798003999999
RGI32-01.06992,Alaska-Yukon,CA2N001AD227,57.0707019999999,-128.772995
RGI32-01.07700,Alaska-Yukon,CA2N001FM084,56.510601,-131.483994
RGI32-01.08867,Alaska-Yukon,UnnamedPA1969145,60.2428019999999,-149.201004
RGI32-01.08876,Alaska-Yukon,UnnamedPA1969142,60.2597999999999,-149.210006999999
RGI32-01.09411,Alaska-Yukon,UnnamedPA1969140,60.3986009999999,-148.960006999999
RGI32-01.09496,Alaska-Yukon,Trail,60.553299,-148.906005999999
RGI32-01.09600,Alaska-Yukon,skookum,60.720402,-148.880997
RGI32-01.09610,Alaska-Yukon,UnnamedPA1969139,60.6769979999999,-148.871002
RGI32-01.10123,Alaska-Yukon,Chenega,60.272598,-148.613998
RGI32-01.10581,Alaska-Yukon,Colony,61.169998,-148.393004999999
RGI32-01.10844,Alaska-Yukon,Knik,61.3391,-148.138001
RGI32-01.11108,Alaska-Yukon,Crescent,60.9911999999999,-147.854004
RGI32-17.01986,Andes,Universidad,-34.607201,-70.336098
RGI32-17.02009,Andes,Laguna,-34.4934999999999,-70.112503
RGI32-17.08141,Andes,PioXI,-49.261299,-73.624802
RGI32-17.19624,Andes,NievesNegrasChileno(SWofvolcansanrose),-33.825802,-69.9086
RGI32-17.19626,Andes,Colina/colino,-33.830002,-69.8827969999999
RGI32-17.19713,Andes,CerroMarmolejoEastglacier,-33.7346,-69.8407969999999
RGI32-17.19782,Andes,NevadodelPiuquenesEastglacier,-33.5434989999999,-69.8032989999999
RGI32-17.19875,Andes,GlacierBsouthofTupungatoglacier,-33.491501,-69.7566989999999
RGI32-17.19926,Andes,RioMuseo(delrio),-33.257198,-69.9235989999999
RGI32-17.20007,Andes,Innomiate(innominado),-33.163601,-70.0352019999999
RGI32-17.20078,Andes,VentisqueroGrandedelNevadodelPlomo,-33.1197009999999,-70.0372009999999
RGI32-17.20190,Andes,JuncalSur,-33.0934979999999,-70.116303
RGI32-01.00013,Alaska-Yukon,Susitna,63.4803009999999,-146.729004
RGI32-01.00020,Alaska-Yukon,Eureka,63.3568,-146.360001
RGI32-01.00021,Alaska-Yukon,MacLaren,63.329498,-146.535003999999
RGI32-01.00037,Alaska-Yukon,BlackRapids,63.423099,-146.486999999999
RGI32-01.00038,Alaska-Yukon,Trident,63.6015009999999,-146.466995
RGI32-01.00039,Alaska-Yukon,BlackrapidsS5Trib,63.3977999999999,-146.070007
RGI32-01.00042,Alaska-Yukon,Yanert,63.6021,-147.714003999999
RGI32-01.00046,Alaska-Yukon,WestFork,63.541801,-147.274993999999
RGI32-01.00313,Alaska-Yukon,Gakona,63.2481,-145.195007
RGI32-01.00325,Alaska-Yukon,ChistochinaNorth,63.2182999999999,-144.772003
RGI32-01.00578,Alaska-Yukon,Gulkana,63.2809979999999,-145.427001999999
RGI32-01.00579,Alaska-Yukon,Canwell,63.3209,-145.449005
RGI32-01.00580,Alaska-Yukon,ChistochinaWestUnnamedPA1969108,63.243099,-145.029007
RGI32-01.00582,Alaska-Yukon,Chistochina,63.2023009999999,-144.710997999999
RGI32-01.00720,Alaska-Yukon,SheepCreek(MendenhallGlacier?),58.517201,-134.481995
RGI32-01.00962,Alaska-Yukon,RenduD,59.001598,-133.709
RGI32-01.01124,Alaska-Yukon,Vesper,58.379601,-134.348998999999
RGI32-01.01425,Alaska-Yukon,HoleintheWall,58.648499,-134.225006
RGI32-01.01755,Alaska-Yukon,LittleTasnuna,61.0257989999999,-145.417007
RGI32-01.01795,Alaska-Yukon,Tasnuna,60.9958,-145.498993
RGI32-01.01802,Alaska-Yukon,Childs,60.677601,-144.936004999999
RGI32-01.01838,Alaska-Yukon,Allen,60.779701,-144.906997999999
RGI32-01.01845,Alaska-Yukon,UnnamedPA1969134,60.826,-145.363007
RGI32-01.01879,Alaska-Yukon,Deserted,60.9950979999999,-145.604996
RGI32-01.11122,Alaska-Yukon,Amherst,61.006,-147.825
RGI32-01.11322,Alaska-Yukon,Harvard,61.3072009999999,-147.666
RGI32-01.11341,Alaska-Yukon,UnnamedPA1969138,61.6054,-147.431
RGI32-01.11413,Alaska-Yukon,UnnamedPA1969137,61.620201,-147.261001999999
RGI32-01.11507,Alaska-Yukon,Columbia,61.2827989999999,-146.929993
RGI32-01.11632,Alaska-Yukon,UnnamedPA1969135,61.5283999999999,-146.697998
RGI32-01.12701,Alaska-Yukon,4*9ACC46,59.8455009999999,-135.654007
RGI32-01.12743,Alaska-Yukon,CA2O016CE043,59.9673999999999,-136.259995
RGI32-01.12754,Alaska-Yukon,CA2O016CD050,59.891499,-135.912003
RGI32-01.12975,Alaska-Yukon,UnnamedPA1969103,61.651699,-154.225006
RGI32-01.13000,Alaska-Yukon,SledPass,61.709999,-152.688995
RGI32-01.13002,Alaska-Yukon,UnnamedPA1969102,61.7261999999999,-154.266007
RGI32-01.13038,Alaska-Yukon,UnnamedPA196972,61.817501,-152.442001
RGI32-01.13094,Alaska-Yukon,UnnamedPA1969105,61.98505008,-153.9704536
RGI32-01.13116,Alaska-Yukon,UnnamedPA1969104,62.118198,-154.315001999999
RGI32-01.13119,Alaska-Yukon,Stoney,61.920799,-152.901001
RGI32-01.13142,Alaska-Yukon,UnnamedPA196973,61.813499,-152.371002
RGI32-01.13146,Alaska-Yukon,UnnamedPA196971,61.794701,-152.505005
RGI32-01.13166,Alaska-Yukon,LittleBlackandTan,61.7564009999999,-152.600006
RGI32-01.13168,Alaska-Yukon,BlackandTan,61.7230989999999,-152.632995999999
RGI32-01.13237,Alaska-Yukon,Hayes,61.652199,-152.481002999999
RGI32-01.13268,Alaska-Yukon,Skwentna,61.523201,-152.651993
RGI32-01.13280,Alaska-Yukon,TwinNorth,61.4915999999999,-152.593994
RGI32-01.13310,Alaska-Yukon,Harpoon,61.377102,-152.485992
RGI32-01.13311,Alaska-Yukon,LittleNagishlamina,61.3391,-152.514998999999
RGI32-01.13318,Alaska-Yukon,PotholePotholes,61.3103979999999,-152.384995
RGI32-01.13333,Alaska-Yukon,Capps,61.3269999999999,-151.906005999999
