rgi_id,o1region,o2region,glims_id,anlys_id,subm_id,src_date,primeclass,conn_lvl,glac_name,is_rgi6,cenlon,cenlat,termlon,termlat,area_km2,zmin_m,zmax_m,zmed_m,zmean_m,slope_deg,aspect_deg,lmax_m,surge_type
RGI2000-v7.0-G-01-01102,01,01-02,G206700E60399N,394660,624,2010-09-12T00:00:00,0,0,,1,-153.29359943466983,60.3936915,,,11.601528009362411,,,,,,,,1.0
RGI2000-v7.0-G-01-01116,01,01-02,G206744E60405N,394762,624,2010-09-12T00:00:00,0,0,,1,-153.24958750723908,60.420357499999994,,,7.582837640802751,,,,,,,,1.0
RGI2000-v7.0-G-01-01148,01,01-02,G206689E60439N,394629,624,2010-09-12T00:00:00,0,0,,1,-153.31566520362844,60.4428845,,,1.69548782211946,,,,,,,,1.0
RGI2000-v7.0-G-01-01280,01,01-02,G207226E60737N,395593,624,2010-09-12T00:00:00,0,0,,1,-152.78547789503205,60.754261,,,4.602095436018644,,,,,,,,1.0
RGI2000-v7.0-G-01-01302,01,01-02,G207395E60779N,395792,624,2010-09-12T00:00:00,0,0,,1,-152.58757285824743,60.799043,,,6.420552550225585,,,,,,,,1.0
RGI2000-v7.0-G-01-01395,01,01-02,G207211E60465N,395580,624,2010-09-12T00:00:00,0,0,,1,-152.7893915496183,60.461048500000004,,,5.482518090477021,,,,,,,,1.0
RGI2000-v7.0-G-01-01409,01,01-02,G207210E60523N,395573,624,2010-09-12T00:00:00,0,0,,1,-152.79365584043288,60.523462,,,1.761638620533153,,,,,,,,1.0
RGI2000-v7.0-G-01-01423,01,01-02,G207344E60496N,395704,624,2010-09-12T00:00:00,0,0,,1,-152.65122215267178,60.491747000000004,,,5.846809945829524,,,,,,,,1.0
RGI2000-v7.0-G-01-01440,01,01-02,G207247E60616N,395606,624,2010-09-12T00:00:00,0,0,,1,-152.7525040909091,60.6137035,,,1.66934392948747,,,,,,,,1.0
RGI2000-v7.0-G-01-01442,01,01-02,G207178E60587N,395546,624,2010-09-12T00:00:00,0,0,,1,-152.80559573076923,60.607321999999996,,,10.626761375786613,,,,,,,,1.0
RGI2000-v7.0-G-01-01556,01,01-02,G206894E60942N,395085,624,2010-09-12T00:00:00,0,0,,1,-153.10711546146953,60.9418635,,,0.695483251220645,,,,,,,,1.0
RGI2000-v7.0-G-01-01563,01,01-02,G206949E60912N,395032,624,2010-09-12T00:00:00,0,0,,1,-153.004407950591,60.949711,,,43.014524532381444,,,,,,,,3.0
RGI2000-v7.0-G-01-01593,01,01-02,G207165E61046N,395305,624,2010-09-12T00:00:00,0,0,,1,-152.7454727377949,61.075596000000004,,,125.00802073220525,,,,,,,,1.0
RGI2000-v7.0-G-01-01783,01,01-02,G207501E60975N,396032,624,2010-09-12T00:00:00,0,0,,1,-152.49753236754242,60.975009,,,6.631949444333615,,,,,,,,1.0
RGI2000-v7.0-G-01-01807,01,01-02,G207124E60889N,395483,624,2010-09-12T00:00:00,0,0,Tanaina Glacier,1,-152.87148794051484,60.928073999999995,,,158.23965547886473,,,,,,,,1.0
RGI2000-v7.0-G-01-01861,01,01-02,G206809E60800N,394925,624,2010-09-12T00:00:00,0,0,TlikakilaGlacierFork,1,-153.12054827703253,60.853393999999994,,,104.77744563536004,,,,,,,,1.0
RGI2000-v7.0-G-01-02237,01,01-02,G207406E61495N,395873,624,2010-09-12T00:00:00,0,0,North Twin Glacier,1,-152.59710191471436,61.494170999999994,,,31.230747007383833,,,,,,,,1.0
RGI2000-v7.0-G-01-02245,01,01-02,G207460E61405N,395930,624,2010-09-12T00:00:00,0,0,South Twin Glacier,1,-152.57378967507145,61.4401455,,,28.545619200138024,,,,,,,,1.0
RGI2000-v7.0-G-01-02252,01,01-02,G207488E61369N,396192,624,2010-09-12T00:00:00,0,0,Harpoon Glacier,1,-152.47487773022223,61.37672,,,19.072276464283927,,,,,,,,1.0
RGI2000-v7.0-G-01-02259,01,01-02,G207486E61334N,395991,624,2010-09-12T00:00:00,0,0,,1,-152.51109928141983,61.3375255,,,2.484378577045637,,,,,,,,1.0
RGI2000-v7.0-G-01-02383,01,01-02,G207312E61709N,395679,624,2010-09-12T00:00:00,0,0,,1,-152.68798921907063,61.712397499999994,,,1.345913846216042,,,,,,,,1.0
RGI2000-v7.0-G-01-02401,01,01-02,G207347E61523N,395623,624,2010-09-12T00:00:00,0,0,,1,-152.64297551601572,61.5802315,,,51.458189755181785,,,,,,,,1.0
RGI2000-v7.0-G-01-02410,01,01-02,G207547E61565N,396072,624,2010-09-12T00:00:00,0,0,Hayes Glacier,1,-152.47002279999998,61.666375,,,155.24844529094702,,,,,,,,1.0
RGI2000-v7.0-G-01-02431,01,01-02,G207633E61799N,396229,624,2010-09-12T00:00:00,0,0,,1,-152.36534370447197,61.8126755,,,6.133521741145985,,,,,,,,1.0
RGI2000-v7.0-G-01-02441,01,01-02,G207557E61813N,396120,624,2010-09-12T00:00:00,0,0,,1,-152.44422823136114,61.817195999999996,,,2.449916059869141,,,,,,,,1.0
RGI2000-v7.0-G-01-02442,01,01-02,G207472E61780N,395959,624,2010-09-12T00:00:00,0,0,,1,-152.47426888278346,61.805544999999995,,,11.050023598944422,,,,,,,,1.0
RGI2000-v7.0-G-01-02454,01,01-02,G207403E61751N,395803,624,2010-09-12T00:00:00,0,0,,1,-152.5968581193182,61.758552,,,1.871077597954002,,,,,,,,1.0
RGI2000-v7.0-G-01-02457,01,01-02,G207365E61665N,395746,624,2010-09-12T00:00:00,0,0,Black and Tan Glacier,1,-152.62353505430326,61.729887500000004,,,19.14025308601731,,,,,,,,1.0
RGI2000-v7.0-G-01-02579,01,01-02,G207854E61429N,396411,624,2010-09-12T00:00:00,0,0,Triumvirate Glacier,1,-152.11907775262762,61.491874,,,341.5210727603974,,,,,,,,1.0
RGI2000-v7.0-G-01-02592,01,01-02,G207920E61308N,396621,624,2010-09-12T00:00:00,0,0,Capps Glacier,1,-152.1058315134139,61.368161,,,240.6477322327593,,,,,,,,1.0
RGI2000-v7.0-G-01-02601,01,01-02,G207568E61312N,396211,624,2010-09-12T00:00:00,0,0,Pothole Glacier,1,-152.35736807017543,61.3385965,,,30.642551591679926,,,,,,,,1.0
RGI2000-v7.0-G-01-02992,01,01-02,G206026E61981N,393347,624,2010-09-12T00:00:00,0,0,,1,-153.97010224478268,61.985309,,,0.715543216573591,,,,,,,,1.0
RGI2000-v7.0-G-01-03043,01,01-02,G205685E62116N,393131,624,2010-09-12T00:00:00,0,0,,1,-154.30909638013696,62.1160605,,,2.300666639916452,,,,,,,,1.0
RGI2000-v7.0-G-01-03065,01,01-02,G205740E61722N,393143,624,2010-09-12T00:00:00,0,0,,1,-154.269430699219,61.726389,,,1.177635781352833,,,,,,,,1.0
RGI2000-v7.0-G-01-03071,01,01-02,G205772E61648N,393166,624,2010-09-12T00:00:00,0,0,,1,-154.23378229131197,61.650757,,,4.622948434577219,,,,,,,,1.0
RGI2000-v7.0-G-01-03376,01,01-02,G206554E60105N,394207,624,2010-09-12T00:00:00,0,0,Chigmuit South Glacier,1,-153.41522863328734,60.161767499999996,,,71.04878742364289,,,,,,,,1.0
RGI2000-v7.0-G-01-03417,01,01-02,G206844E60039N,394996,624,2010-09-12T00:00:00,0,0,,1,-153.1325128455317,60.03458,,,12.70693704777525,,,,,,,,1.0
RGI2000-v7.0-G-01-03503,01,01-02,G206888E60048N,395090,624,2010-09-12T00:00:00,0,0,Tuxedni Glacier,1,-153.09060378432832,60.1456975,,,92.96455858374956,,,,,,,,1.0
RGI2000-v7.0-G-01-03580,01,01-02,G207006E60047N,395248,624,2010-09-12T00:00:00,0,0,Lateral Glacier,1,-153.02761017984818,60.056929,,,25.18855099462638,,,,,,,,1.0
RGI2000-v7.0-G-01-03610,01,01-02,G206527E60726N,394230,624,2010-09-12T00:00:00,0,0,TlikakilaNorthFork,1,-153.48937168133494,60.774254,,,31.701105501191517,,,,,,,,1.0
RGI2000-v7.0-G-01-03917,01,01-02,G208174E62720N,396616,624,2010-09-12T00:00:00,0,0,,1,-151.82409149460904,62.7190305,,,1.043111147708228,,,,,,,,3.0
RGI2000-v7.0-G-01-03925,01,01-02,G208382E62801N,396628,624,2010-09-12T00:00:00,0,0,Yentna Glacier,1,-151.68158305341683,62.772511,,,211.14812591942257,,,,,,,,3.0
