region,nglac,observed,probable,possible,total
alaska,27511,174,48,417,639
western_canada_usa,18855,0,0,0,0
arctic_canada_north,5219,16,18,36,70
arctic_canada_south,10934,0,6,0,6
greenland_periphery,19995,14,74,3,91
iceland,568,22,1,1,24
svalbard_jan_mayen,1667,106,38,117,261
scandinavia,3411,0,0,0,0
russian_arctic,1069,4,13,16,33
asia_north,7155,3,0,0,3
central_europe,4087,2,0,2,4
caucasus_middle_east,2276,4,6,1,11
asia_central,75614,351,348,359,1058
asia_south_west,37563,220,110,7,337
asia_south_east,18587,3,8,1,12
low_latitudes,3698,0,0,0,0
southern_andes,30700,28,1,2,31
new_zealand,3018,0,0,0,0
subantarctic_antarctic_islands,2662,0,0,0,0
total,274589,947,671,962,2580
